rank,appid
1545,1834220
1546,3924780
1547,3254990
1548,3822320
1549,3919810
1550,4516190
1551,1916410
1552,3541250
1553,3875960
1554,2595110
1555,1487570
1556,2427980
1557,1735370
1558,4323130
1559,3893290
1560,2897710
1561,4430260
1562,4746630
1563,2789020
1564,2275750
1565,3581910
1566,1019932
1567,3103620
1568,3199470
1569,4346690
1570,3459050
1571,2954890
1572,2485410
1573,4582880
1574,2716830
1575,3778610
1576,942220
1577,3772190
1578,3749830
1579,3694190
1580,1356250
1581,905240
1582,3280240
1583,3177710
1584,2629710
1585,2115210
1586,4093640
1587,2118890
1588,4462580
1589,2134720
1590,4096150
1591,4126510
1592,1303400
1593,2547010
1594,3882410
1595,4022090
1596,2856410
1597,1318190
1598,2731030
1599,2518790
1600,1473260
1601,3453490
1602,3161350
1603,1234570
1604,1883360
1605,2361560
1606,2590330
1607,1549600
1608,2366590
1609,4377480
1610,1557140
1611,3725650
1612,1522360
1613,3738130
1614,3851600
1615,3168560
1616,1730790
1617,3039980
1618,3239830
1619,1380980
1620,3492120
1621,2284140
1622,3845210
1623,1836400
1624,1166660
1625,4704920
1626,3673500
1627,4761940
1628,1561080
1629,2231460
1630,3894830
1631,2381500
1632,3922560
1633,1713730
1634,4990840
1635,1120330
1636,3715770
1637,2934330
1638,3488640
1639,2923140
1640,3826670
1641,2165040
1642,1847180
1643,2814880
1644,2855360
1645,1325580
1646,4228630
1647,3751860
1648,2408030
1649,2514620
1650,2562390
1651,4001350
1652,4402330
1653,3010150
1654,3714420
1655,4281060
1656,1207690
1657,4678470
1658,2446660
1659,3560630
1660,3610790
1661,1576780
1662,1157900
1663,3454770
1664,4418500
1665,1159150
1666,3616280
1667,2349420
1668,4400790
1669,2304360
1670,3572800
1671,2809200
1672,2954590
1673,2710920
1674,847720
1675,4564640
1676,1776200
1677,5064340
1678,3004280
1679,1647220
1680,3740090
1681,4549500
1682,3547910
1683,3806350
1684,2127730
1685,2628450
1686,3630010
1687,4441950
1688,2776910
1689,1668340
1690,3720330
1691,4353330
1692,3681340
1693,4250680
1694,1725710
1695,1641040
1696,1705720
1697,1636680
1698,2334600
1699,3410390
1700,4528040
1701,3970880
1702,4207990
1703,1735880
1704,2809220
1705,473750
1706,2453200
1707,3366370
1708,1292510
1709,2334320
1710,4167640
1711,3404880
1712,2174510
1713,2246370
1714,3071440
1715,4572120
1716,3783980
1717,3126500
1718,3794210
1719,4260270
1720,3833810
1721,3519500
1722,2497020
1723,2139040
1724,2082570
1725,3333190
1726,3814270
1727,2507690
1728,1472730
1729,3867160
1730,3088510
1731,3900950
1732,4683590
1733,4055780
1734,4206080
1735,1043850
1736,3613860
1737,4463840
1738,1537440
1739,2861730
1740,4660170
1741,2911270
1742,3695630
1743,3710560
1744,1823210
1745,2329070
1746,4940930
1747,1368180
1748,3724300
1749,4663760
1750,1892580
1751,3880400
1752,3332120
1753,2695810
1754,3622350
1755,2076210
1756,2503230
1757,4670880
1758,4216230
1759,3950940
1760,2198310
1761,4498320
1762,4483210
1763,3297110
1764,4300090
1765,3323210
1766,3170130
1767,3188510
1768,2499780
1769,4968940
1770,3548810
1771,2218540
1772,2363280
1773,1652580
1774,4176140
1775,3560110
1776,812910
1777,3533390
1778,2586440
1779,1890780
1780,4232510
1781,3892370
1782,2523380
1783,1773220
1784,2860490
1785,1188870
1786,3502970
1787,3150620
1788,1066740
1789,3100970
1790,2640200
1791,4596010
1792,3736800
1793,2618130
1794,3452720
1795,3886200
1796,3097730
1797,2075460
1798,2211630
1799,2185250
1800,4632020
1801,3850980
1802,2642390
1803,816070
1804,4563410
1805,1324400
1806,1725980
1807,1724080
1808,3523850
1809,4375420
1810,2079920
1811,3432860
1812,3411900
1813,1689130
1814,1113080
1815,1354980
1816,4833450
1817,2937690
1818,2271150
1819,2635440
1820,3813870
1821,2780040
1822,4620600
1823,3718500
1824,3154550
1825,3638680
1826,2611240
1827,3855850
1828,2611600
1829,4372780
1830,1801140
1831,2290870
1832,3565480
1833,3516660
1834,2549040
1835,3594530
1836,1103820
1837,2731290
1838,3485580
1839,1386720
1840,3714280
1841,2014520
1842,3053470
1843,3933180
1844,4414110
1845,2841650
1846,1635640
1847,4762680
1848,355750
1849,3789230
1850,4139200
1851,3772990
1852,3002550
1853,1303090
1854,3139290
1855,2227100
1856,3962240
1857,4924160
1858,1876420
1859,2249060
1860,1761910
1861,2352230
1862,4622160
1863,3339080
1864,3045530
1865,4444800
1866,2578180
1867,3977340
1868,2007350
1869,4576910
1870,868160
1871,2537980
1872,3348210
1873,1040240
1874,1334230
1875,988960
1876,2999040
1877,3608830
1878,4138920
1879,2383240
1880,4624180
1881,1313210
1882,3130880
1883,2864310
1884,3989650
1885,2374540
1886,3705900
1887,1043460
1888,3794620
1889,4134650
1890,2493130
1891,1449820
1892,3448070
1893,4159720
1894,3345260
1895,4151070
1896,4240620
1897,3275210
1898,4203890
1899,3335460
1900,1689340
1901,2165530
1902,4406280
1903,3925750
1904,3372500
1905,2935800
1906,4199960
1907,3251280
1908,1936310
1909,1617120
1910,1721590
1911,1530850
1912,1865770
1913,4398500
1914,2953540
1915,1070500
1916,4188680
1917,2718320
1918,2541930
1919,2117160
1920,3151140
1921,4088520
1922,3702540
1923,1345450
1924,4304060
1925,2259590
1926,1983910
1927,3299450
1928,1236170
1929,1697770
1930,3743810
1931,3488690
1932,2640150
1933,3260240
1934,3211220
1935,4463520
1936,3866080
1937,3605140
1938,2427530
1939,3613050
1940,2932450
1941,4198840
1942,3562200
1943,2309440
1944,3417530
1945,3162900
1946,884670
1947,3456660
1948,2597200
1949,3514750
1950,3227500
1951,3177760
1952,1123240
1953,2211000
1954,1502460
1955,3892510
1956,1858700
1957,1425660
1958,4003030
1959,1823300
1960,4363380
1961,2396130
1962,1826380
1963,1852510
1964,3966570
1965,2301940
1966,3832660
1967,2874540
1968,2360820
1969,3212500
1970,3564990
1971,4327490
1972,2904640
1973,4697880
1974,3838820
1975,2640920
1976,3800200
1977,3607300
1978,3168520
1979,4327300
1980,3589650
1981,1949610
1982,792380
1983,2614590
1984,3002130
1985,4376980
1986,2005910
1987,3948470
1988,3014860
1989,4944410
1990,347460
1991,3128360
1992,3347910
1993,1072910
1994,968710
1995,3352140
1996,4109980
1997,3991390
1998,1993210
1999,2537430
2000,2984800
2001,1848610
2002,2881620
2003,4165660
2004,4059000
2005,2514330
2006,2615420
2007,3873770
2008,2287780
2009,2850290
2010,3693970
2011,3227900
2012,2402500
2013,2999500
2014,4026510
2015,4310440
2016,2946140
2017,3340830
2018,3734010
2019,3143530
2020,2717620
2021,1171340
2022,3966800
2023,1898110
2024,2823820
2025,2990190
2026,993960
2027,4542740
2028,2691090
2029,2986590
2030,2470790
2031,2491830
2032,2584740
2033,3380990
2034,3857800
2035,2356810
2036,3235140
2037,1286230
2038,2431790
2039,2750770
2040,1478730
2041,2778110
2042,2984150
2043,4195140
2044,2925520
2045,2425200
2046,1800250
2047,2659980
2048,3433800
2049,1193170
2050,2437940
2051,3990360
2052,2092510
2053,2436870
2054,2175890
2055,4402200
2056,3979570
2057,4411580
2058,4882500
2059,3720040
2060,4959300
2061,748810
2062,2152830
2063,4001820
2064,757550
2065,2678670
2066,4287040
2067,4089520
2068,4133290
2069,3850800
2070,2357380
2071,2963650
2072,3070430
2073,3864940
2074,3019200
2075,4768180
2076,2184080
2077,1889700
2078,2069170
2079,1794000
2080,3179370
2081,4302700
2082,1991250
2083,3002740
2084,1692120
2085,2761800
2086,1335780
2087,2714930
2088,3353800
2089,4282780
2090,4639050
2091,1170670
2092,1170580
2093,2433790
2094,3377830
2095,3352150
2096,662340
2097,3260040
2098,3025300
2099,2321890
2100,2415000
2101,3797790
2102,1779060
2103,1466310
2104,2524410
2105,3581760
2106,3683940
2107,4296370
2108,2517080
2109,2837780
2110,3053990
2111,3219390
2112,4540260
2113,3619300
2114,3824720
2115,1570220
2116,4005880
2117,4382260
2118,3275400
2119,4221820
2120,3383670
2121,3582120
2122,4498500
2123,4075740
2124,4517190
2125,1440340
2126,3676080
2127,1355060
2128,3660360
2129,3008590
2130,2287370
2131,1781190
2132,907500
2133,2299940
2134,2324410
2135,1179280
2136,2476630
2137,3597340
2138,1264390
2139,3606780
2140,4480060
2141,3040830
2142,4562940
2143,3938440
2144,2403830
2145,2410360
2146,3906460
