appid,rank,prev_rank,rank_change
1174370,1960,4117,2157
2695490,7035,N/A,2157
1668540,3808,5958,2150
33930,7046,N/A,2146
1200341,5279,7422,2143
306240,7049,N/A,2143
312980,5452,7587,2135
420110,6765,8900,2135
228300,7057,N/A,2135
893050,7060,N/A,2132
3675940,6494,8625,2131
3681410,7061,N/A,2131
1262580,2951,5081,2130
2764590,4750,6878,2128
3708070,5117,7244,2127
743900,7065,N/A,2127
3772330,2445,4570,2125
222440,5850,7975,2125
359390,4739,6862,2123
979920,4324,6446,2122
1097130,7070,N/A,2122
1004290,7071,N/A,2121
1592490,6698,8816,2118
2448020,7076,N/A,2116
4016880,7077,N/A,2115
257420,5607,7721,2114
2226730,7079,N/A,2113
1276760,3235,5347,2112
2858370,4846,6957,2111
1420350,7081,N/A,2111
1906020,7085,N/A,2107
234650,7089,N/A,2103
2923390,7090,N/A,2102
2851700,7092,N/A,2100
215930,7093,N/A,2099
4266400,5951,8049,2098
4303040,3969,6062,2093
607890,7100,N/A,2092
1966010,7101,N/A,2091
1363740,6017,8106,2089
1082970,7103,N/A,2089
2769080,5709,7794,2085
311260,6507,8592,2085
3026800,7109,N/A,2083
3868400,7110,N/A,2082
4421510,7111,N/A,2081
4464700,4080,6155,2075
2436340,7117,N/A,2075
2587430,4619,6693,2074
1697870,7122,N/A,2070
1043340,7129,N/A,2063
758690,6952,9013,2061
2366322,7132,N/A,2060
3391950,6543,8601,2058
1522650,7139,N/A,2053
821250,4104,6149,2045
702700,7147,N/A,2045
992300,7148,N/A,2044
2081400,3452,5494,2042
203350,7150,N/A,2042
443110,1743,3784,2041
223100,7154,N/A,2038
2396200,7155,N/A,2037
3656900,7157,N/A,2035
1971650,139,2171,2032
324344,7160,N/A,2032
4036790,7161,N/A,2031
688130,7163,N/A,2029
2058140,7164,N/A,2028
1141580,7165,N/A,2027
414340,5134,7160,2026
754150,5034,7059,2025
1675830,7168,N/A,2024
1644320,2992,5014,2022
849100,7171,N/A,2021
671160,6858,8878,2020
2081080,7173,N/A,2019
3048840,7175,N/A,2017
2524050,6405,8420,2015
999660,3223,5237,2014
860950,6589,8602,2013
1235744,4211,6223,2012
3706590,2735,4746,2011
551620,5229,7240,2011
280220,7181,N/A,2011
3547880,5991,8001,2010
230270,7185,N/A,2007
3663510,6675,8681,2006
3696840,6836,8842,2006
1925320,7186,N/A,2006
2067050,5489,7493,2004
1538970,7188,N/A,2004
4126080,7190,N/A,2002
282800,2704,4701,1997
3454980,3275,5268,1993
2693730,7010,9002,1992
4241910,7200,N/A,1992
3376500,6651,8640,1989
3630990,3908,5896,1988
258970,5402,7390,1988
2494350,5407,7395,1988
3077390,7204,N/A,1988
538030,3381,5368,1987
50620,4386,6373,1987
3314750,4817,6803,1986
2169930,4867,6851,1984
329050,4028,6011,1983
3813350,2888,4869,1981
2356560,4724,6705,1981
19800,4831,6807,1976
2927510,7218,N/A,1974
3080090,7220,N/A,1972
3110360,5003,6974,1971
3054690,511,2481,1970
1420290,7222,N/A,1970
3326890,4928,6890,1962
223598,7231,N/A,1961
3732960,2654,4613,1959
978960,7242,N/A,1950
694770,7244,N/A,1948
1388870,6509,8456,1947
3626760,3817,5763,1946
2058880,5985,7928,1943
925940,7249,N/A,1943
1135830,7250,N/A,1942
3047140,7251,N/A,1941
2322560,5503,7442,1939
1235760,5830,7769,1939
3934880,7253,N/A,1939
1942100,7256,N/A,1936
4191390,7259,N/A,1933
1299510,2603,4534,1931
2525730,7261,N/A,1931
1108270,1702,3631,1929
1754840,7263,N/A,1929
3247750,2650,4578,1928
3362660,3844,5770,1926
1254120,2275,4198,1923
3367430,2469,4392,1923
2574940,6660,8582,1922
1034860,7270,N/A,1922
1736700,7271,N/A,1921
1850550,7272,N/A,1920
115320,1989,3908,1919
1707990,5346,7264,1918
2628270,4916,6828,1912
296490,7280,N/A,1912
1304350,5510,7420,1910
3987810,1820,3726,1906
1461050,7286,N/A,1906
3042220,6231,8136,1905
3014320,201,2105,1904
1162520,3412,5315,1903
411893,2899,4800,1901
2099090,6656,8556,1900
3620,7123,9022,1899
4263300,1253,3151,1898
2849680,5463,7361,1898
3145880,7296,N/A,1896
297760,7298,N/A,1894
335620,7299,N/A,1893
1314820,3977,5869,1892
1301021,4420,6312,1892
3749550,7302,N/A,1890
1762570,5617,7505,1888
1920770,7304,N/A,1888
2206270,5708,7595,1887
4327940,7307,N/A,1885
1041720,2312,4196,1884
2763670,4966,6848,1882
3168890,7310,N/A,1882
1345890,7311,N/A,1881
858810,5706,7585,1879
718670,3112,4990,1878
