rank,appid
1788,2569670
1789,7940
1790,1520470
1791,4159240
1792,1367080
1793,3607950
1794,920210
1795,952060
1796,1283410
1797,3716600
1798,4026970
1799,3929630
1800,3871350
1801,412020
1802,1074320
1803,1999190
1804,3495730
1805,3618850
1806,2928600
1807,32470
1808,397540
1809,2692400
1810,2255370
1811,1745440
1812,3211850
1813,2427700
1814,4314650
1815,3858650
1816,200510
1817,1154840
1818,1127400
1819,323470
1820,19680
1821,3681010
1822,2213700
1823,1177980
1824,787860
1825,382310
1826,3754990
1827,3570060
1828,1235722
1829,368500
1830,3657920
1831,2386720
1832,3804850
1833,1088090
1834,4131660
1835,1488200
1836,2897580
1837,2903960
1838,4656700
1839,2176130
1840,238460
1841,1158180
1842,2532480
1843,22320
1844,3362570
1845,2909110
1846,1235730
1847,3966020
1848,4834020
1849,872410
1850,1137300
1851,1235746
1852,3368600
1853,2280
1854,3080080
1855,666150
1856,3657950
1857,3142540
1858,3410470
1859,4249250
1860,2719750
1861,774801
1862,2183930
1863,2498570
1864,2231450
1865,1424330
1866,1549250
1867,1520370
1868,1059530
1869,3800340
1870,2211170
1871,2492040
1872,1303182
1873,455040
1874,1911610
1875,3513600
1876,3266090
1877,2396990
1878,1677770
1879,830461
1880,404014
1881,669330
1882,209650
1883,524220
1884,311690
1885,3868650
1886,2570210
1887,4735170
1888,383180
1889,4260840
1890,3375780
1891,692890
1892,2471100
1893,4610100
1894,1090150
1895,541300
1896,830460
1897,1089270
1898,2066020
1899,1180380
1900,2707940
1901,4033080
1902,288470
1903,3337140
1904,1209120
1905,2809180
1906,297000
1907,1755920
1908,553420
1909,235540
1910,3127280
1911,1776780
1912,2464530
1913,1983900
1914,1158100
1915,3855540
1916,2370570
1917,3755860
1918,2427410
1919,3601800
1920,1123050
1921,1969870
1922,2459550
1923,1933000
1924,1444480
1925,4015530
1926,45740
1927,2106670
1928,3871370
1929,4744690
1930,2102450
1931,2961530
1932,460810
1933,779880
1934,630940
1935,2529790
1936,1597080
1937,2408820
1938,2140610
1939,757310
1940,645402
1941,4095900
1942,2000890
1943,1881420
1944,1812090
1945,1553061
1946,3732960
1947,2008920
1948,2534810
1949,2081880
1950,225540
1951,557600
1952,2893570
1953,4529160
1954,1316840
1955,785300
1956,1090200
1957,4268470
1958,2958970
1959,2683150
1960,223100
1961,1128810
1962,3028310
1963,1236720
1964,4301100
1965,641990
1966,2114740
1967,2064650
1968,2172260
1969,3224420
1970,388475
1971,436780
1972,3825390
1973,2680010
1974,307690
1975,3259120
1976,469600
1977,2815070
1978,240720
1979,4465230
1980,3283220
1981,2264340
1982,459220
1983,3606610
1984,311560
1985,2716400
1986,3537070
1987,2589500
1988,1971650
1989,3335470
1990,205100
1991,1904392
1992,4216650
1993,4661990
1994,2653790
1995,3366780
1996,201810
1997,1866130
1998,362680
1999,48190
2000,1235732
2001,1609230
2002,245170
2003,3884020
2004,4263300
2005,2726490
2006,1929290
2007,4335460
2008,304930
2009,4199610
2010,554620
2011,979640
2012,1481170
2013,3989960
2014,3183970
2015,1659420
2016,200710
2017,4439260
2018,1030840
2019,246900
2020,868360
2021,973580
2022,3014320
2023,2111630
2024,1163550
2025,1959430
2026,1436990
2027,1389990
2028,2599690
2029,2748340
2030,1235745
2031,3181500
2032,2388580
2033,4194800
2034,3793540
2035,4585130
2036,2661270
